=== BTC vendor destinations (valued at live rate on tx day) ===
destinations: 141, total sent: 7.39541203 BTC = $624,220.92
price source: Binance BTCUSDT daily open (UTC), live rate at tx day; unpriced transfers: 0

rank address                                              amount              USD   txs  period
  96 bc1qw66klnkwn53je6xty50xgphqg9cpkxpr0f2dht         0.03158153         3,085.53     1  2025-02-03 .. 2025-02-03
  97 bc1qyf4jg6wzsze9g5zwn6f0pkvjqqj5l68cdm9duq         0.04043424         3,067.26     1  2024-11-08 .. 2024-11-08
  98 bc1qhxg34g6smtfmkxmcth22n88g2qge7apry64xq2         0.03541415         3,053.45     1  2025-03-04 .. 2025-03-04
  99 bc1q0235359afem969d7w7vwtyqtptkwxsdcfvpyh4         0.04444470         2,981.92     1  2024-10-27 .. 2024-10-27
 100 bc1qlakhq6rdn88mk32vc0vtv4gp6dgv6n3hxz9f4x         0.03123985         2,973.61     1  2024-12-23 .. 2024-12-23
 101 bc1q0vccvxk2jnygsxsyrwuccqccm0lckc2dpyl05a         0.03030984         2,963.19     1  2025-02-05 .. 2025-02-05
 102 bc1qmfx07y9t4d3pvujdz6jjwxjzq905vkqmze8w6w         0.02985136         2,884.01     1  2025-02-06 .. 2025-02-06
 103 bc1qzhl7za60mz2f3wt0u33p92cm8qaxn5vlc60rw4         0.02933170         2,883.81     1  2024-11-22 .. 2024-11-22
 104 bc1qhzaxl3htg7m9qpe3l0ddg98s4lqk5h0lddqafg         0.02998208         2,868.44     1  2025-02-19 .. 2025-02-19
 105 bc1qdmp9d9jcknq5kk7g4gmq6qys0puzghxl25fuh0         0.02901943         2,854.46     1  2025-01-06 .. 2025-01-06
 106 bc1q4egtd6uy0ym9xuar52l3j05zjnautxtdcnj645         0.03544708         2,848.88     1  2024-11-11 .. 2024-11-11
 107 bc1qpjpyldf6yr3079rse0e54wmstzeg4a05r5elw7         0.02780817         2,838.74     1  2025-01-28 .. 2025-01-28
 108 bc1qlvce2x0m0rwekfmzrdz9twuwd6t2ye7e03t4w3         0.03000258         2,838.24     1  2025-01-12 .. 2025-01-12
 109 bc1qv969ah2efy5yfz26cw623sy39wjfc8208kntv6         0.04025538         2,792.60     1  2024-11-06 .. 2024-11-06
 110 bc1q873a2z5r20k4gqgwvw8ns6780k8d3mduacvagg         0.04140657         2,777.31     1  2024-10-16 .. 2024-10-16
 111 bc1q36pdl4wnledm7h8eqtvgjuppmdw42s4s2nh0u0         0.04200487         2,775.85     1  2024-10-15 .. 2024-10-15
 112 bc1qdgshd4wnj5nk6v8n56c9dt54t4sd552dhy9leu         0.03966540         2,751.78     1  2024-11-03 .. 2024-11-03
 113 bc1qzakcwku6fm0gesgn89gcc3cp28yjrwarq7rswa         0.02654868         2,728.97     1  2025-05-13 .. 2025-05-13
 114 bc1qrl2rs7e72tha2t7dp9yx7dmkykt7mzmqukx358         0.03281697         2,707.93     1  2025-04-03 .. 2025-04-03
 115 bc1qd6pq3gjusn6wctjgleq64w9agujctznlzh4wrv         0.03785440         2,590.30     1  2024-10-19 .. 2024-10-19
