coin,date_utc,destination,amount,usd_value
BTC,2025-03-15,bc1qzn7zqjjyc8gkn3373y6hz69eadn89qm9t5cagx,0.00582865,489.51
BTC,2025-03-17,bc1qvf4w0fvv8jt90ec7x2ypfht6wy4wqpv8d9gsx3,0.02176804,1797.49
BTC,2025-03-19,bc1qwq863uzekycznkcl6rlywt89sadfu35sx0hs92,0.02247795,1859.26
BTC,2025-03-21,bc1qkjmhxqspfjtxu9q8njch5u9jkt3zkx9l0gcz73,0.02048616,1725.41
BTC,2025-03-22,bc1qzm3pfj6spnek4hu4u24795lwg42rqh89avvn7f,0.00547769,460.61
BTC,2025-03-23,bc1q02tafe7sjuzfjxx4549mut2evc82l4638kgx99,0.00459295,385.08
BTC,2025-03-24,bc1qdscs79demsmas3xawqnhuzhzvywu872ltm40wr,0.01296142,1115.75
BTC,2025-03-30,bc1qc9s9w5v59hhf977ch559mzvev79a5spdpf29hl,0.03328441,2750.91
BTC,2025-04-02,bc1qjhhn4g7frsrz9y9737rmxderv0sx9xm033v3z2,0.00929514,791.56
BTC,2025-04-02,bc1qvlcry9aehhzw2zzf8u5cc0vmcnh4mm2hg9n624,0.01020204,868.79
BTC,2025-04-03,bc1qrl2rs7e72tha2t7dp9yx7dmkykt7mzmqukx358,0.01190304,982.19
BTC,2025-04-05,1ALghftdrNP4XKKrrUQemu9Ss99xMwqoZN,0.00111383,93.44
BTC,2025-04-05,bc1qpr47qkdylsvh40j49luw3zus22wpqegquauvhl,0.01297016,1088.06
BTC,2025-04-06,bc1q5w9rlkge57vunac6ccstqlvnxx9n7wmsxl3t5g,0.00599168,500.53
BTC,2025-04-07,bc1qg85d2z2l72ll7m467d32l4wpc84vtafxcnjcrs,0.01601045,1255.70
BTC,2025-04-10,12Wb77wD8zS7W4f6oGG7WyjMayxxh7Lqw4,0.00329506,272.22
BTC,2025-04-10,bc1qxn0hjcqsnx9k87hzs9y048vtwwr4t5fl0lwsck,0.00959844,792.98
BTC,2025-04-13,bc1qwdmrg7tqxga6huvw6ru632fzvqapk8qhdkvm76,0.01780417,1518.28
BTC,2025-04-20,bc1q44kvhhalp3yfvpny7l7jd8yrz8aghkywdgxqmu,0.03420244,2909.84
BTC,2025-04-22,1ALghftdrNP4XKKrrUQemu9Ss99xMwqoZN,0.00040235,35.21
BTC,2025-04-22,bc1q89lwjmnf4rkcs75angdh6kft87cdgmpty76mw4,0.00959835,840.01
BTC,2025-04-25,bc1q2ymln5pl5hheqy4x9lmvdsnye2h6um9neuxvvv,0.00905680,851.16
BTC,2025-04-29,12Wb77wD8zS7W4f6oGG7WyjMayxxh7Lqw4,0.00432654,411.07
BTC,2025-04-29,bc1qla7ypxpv233rru9m4klrdxy8fasx23uxu4wn93,0.01088826,1034.51
