address,total_in,total_in_usd,total_out,total_out_usd
1K9C4kLYvTss6ZLymSqPrczu6Az6tvUbwW,0.00264441,296.17,0.00264441,326.54
1NTYQCTn3vjwf2UePBZfehv4inELHznESg,0.00300586,325.93,0.00300586,325.57
1PdkKU3aH5eC99vXewvSGEPkdACPh1PsJv,0.0027185,311.9,0.0027185,321.43
1G89XiXWDSDiQ8QHua8qyxxH8AegV4LSTa,0.00270071,319.74,0.00270071,318.79
1PZ5eRCYzzU72fUv9H3TdhpBDLf2itwFqk,0.00285332,303.94,0.00285332,314.62
1LUDdfZrJKJk97xtTkohsUxTraZ72Y9BRP,0.0028971,304.95,0.0028971,308.33
1FQ6snqPgwap8XuvNNVPgrNwdb4Sh98trY,0.0026888,293.44,0.0026888,306.66
1CFBJBYrqY8K8UjPDuJZ6ywaqx5uc61cwJ,0.00277093,303.77,0.00277093,305.63
19DKKffr255CB4vMiGQgoMLyiQwAegpB2m,0.00281208,304.15,0.00281208,303.41
1HAV419cWsfJfugQKuR1us9cEAZaJ6m6U4,0.00271655,301.51,0.00271655,303.18
1BnrTMEYHKK2ma74QNG7QkPAd9ALQD4K8b,0.00277381,301.56,0.00277381,302.71
16FmJE3kdMJdEF2YMkbYRaHNMAucXGqFRK,0.00263616,289.02,0.00263616,301.34
113xDwA7C7NajWGhBFkpJXSaQmpsSMLe8f,0.00272773,300.77,0.00272773,300.8
1EeEh85aTfGS6mLqaZdKiwx1Xv4rKWYYTo,0.00274689,298.28,0.00274689,298.11
18wGmhBvG1799PV6HYmm4d9h2ztYKreaex,0.00262271,299.22,0.00262271,296.49
15BdXUy3gJU1LvsFaB4r9ME1HjXFSFSoqv,0.00253992,296.72,0.00253992,295.76
1HkvQR8icNKrKp3jLZ5iBiaTkunSd8eY16,0.00257628,298.29,0.00257628,295.64
16DmRaZaX88xyroiKoVZG59aBGTTQYkArQ,0.00261519,291.89,0.00261519,294.27
