date,txid,direction,counterparty,amount_btc,amount_usd,fee_btc,fee_usd
2022-02-09,55edd2878ea82f5222e50477f4098ca6fcead1027731855e178bcf37792a0916,in,1DXPRWxGySJxPMY4RyAHMPSRZZanZxM1YZ,0.00068938,30.36,0.0,0.0
2022-02-09,5821d122f7122709008cf191440765db118cb72890853ff4ba8177bcae601125,in,bc1qxmfn4valqatepf8ulupcu4hzeuavwd0jzr4wt3,0.00062864,27.69,0.0,0.0
2022-02-09,651604619af1d485fca41f295299a5780219623d060f3d38000991f5a1e8d9ef,in,bc1qrqna4xwrday8sjljpgzg2490r6ykzrvzgavqn6,0.00091998,40.52,0.0,0.0
2022-02-09,672af799d142121085e6704128d9b7613114ce622be69b24e86121aba2a0dd07,in,33EeB2ToL2jCkhJsyp8x7CUcAvr7x59Y2B;34CcSs5Qy1swy7RJ6mBKxabgR9pAEpmZzy;34hZvpPCfb5HM7GrPJcpiUCsS9RH5hYnPB;358DBD4Ejf1G2xJisBHCPyhL2MbinGKQYP;36VkyZqDQkBZJ5RqmzopmsC1V2rxNEanLd;37h4jDF5GJABPitVpUrd965zRsQrekzfj1;37xd47tY1LTM49cMifuFKKdxxGU1aKXmgA;3CiB8hP4TCQhE6ZyZz3YGib79cRnVPgvwo;3Ct5MRMXymPw3gaH78bfjMAKVX3A1osNk1;3DhiaoT5yadQk36roR6u5nTtYXYDSP3U8t;3F6SM9w9ja1Vr2tWsTQYbvJg6VyxWqmpfZ;3Fwh5BiMPuFvzQBmt9KrhLCHJ43at8Kdfh;3N7vxknF1znVHpvc3wm3X3R8SU9PPSrNoD;3QuekcHUproPGLuwywxuxjxqtQxxXxYC1V,0.00457264,201.39,0.0,0.0
2022-02-09,6cc4d9c2779c41c8902ef943c240e69734a5de7e8814b64b788038d8c57e15b7,in,bc1qqdz63f2vg78qcxjhu5swrpfyk7nd5gs9a643fr,0.00125992,55.49,0.0,0.0
2022-02-09,6e83d31f5e47673cd82012b6b001c0d4113f5c32c4e0aa18c7e9a483fa98bf2c,in,bc1qh9rpfm7gl4jktfmheyrpr6g42jl96rulwuj5sd,0.00049141,21.64,0.0,0.0
2022-02-09,7276fa402f499b64b1421f92af16427adae06ecbb9d6dcecd5c84f076e8e6c1f,in,bc1qxrlaxn7ux5qkf662ujrw9j7zjkkgnvkpmem2w0,0.00161153,70.98,0.0,0.0
2022-02-09,761a9bccc19d2d34ac22bbdcffe21f0cbd719fc71abf1fc333641cfc3300d560,in,bc1qvuvsjntrp45rp45d3aj5fueq0z0d7kjmv22rwt,0.00113801,50.12,0.0,0.0
2022-02-09,7caafa2aa9933b135a672657443329c614b2c83dc12f4c0425a4982858cefb3d,in,bc1qr9tv04g6a83muvqkl9vkm9qemmxg55dqq5v3xw,0.0006843,30.14,0.0,0.0
2022-02-09,840e1a82588faa815bc1c74b375668c7b3aa1eb776fbf97b8e325d153ae2e1e2,out,1EQPS3o9wwA1TRaKastYTXKQwUEMb1VbD9,0.00741278,326.48,1.315e-05,0.58
