address,total_in,total_in_usd,total_out,total_out_usd
1GiWSaV14aC4ZMmwJiqYGXwp6tTktKfLcm,0.00749488,718.52,0.00749488,725.43
14ptJATPsjHZ5otQedn5EzH6P8E8ijXayB,0.00766031,706.33,0.00766031,712.07
15sSAPgACpmGRwSVBb2zaGMBSZ72bRNYZB,0.01029398,702.45,0.01029398,700.99
1A96W3UmMcareqFC4zrVZLgMmMV18xdQAU,0.00777298,690.51,0.00777298,690.37
1ChDnYkVg3Y1VqeP8QRF311ujYiusyfrJB,0.00671045,664.55,0.00671045,673.37
1H3XuEj68JAZJ4TzZ9gZnnypdysxJp344P,0.0077025,667.58,0.0077025,664.63
13HtoqU1RnLk27Za9Q9uNwKTWu7KJbAiYh,0.00781251,664.54,0.00781251,663.19
18peJxJ3Sr8wKR6kd8xtaNdBP94qb3o5jz,0.00714317,650.12,0.00714317,656.94
1LZMTKJCEtKQBiaj7AHSMuTygpp98yxhGa,0.00735034,661.59,0.00735034,656.85
17jZ1b9858xxA6YhAKywtKU3o9bvfbkVqe,0.00672071,632.12,0.00672071,651.72
1GT1iSqPEzQAi1R3UxBtdYLY1oeyWmPYpG,0.00942873,650.61,0.00942873,645.44
1FAWhjYQXP2NoYimGQEu3ZUftwwYADBxbJ,0.00670505,636.13,0.00670505,642.32
1bgth6Fvx8HVbrgPYSznBUoqXzehhWvTj,0.00840643,641.59,0.00840643,641.84
1PwLHDxEKz8vfEqZZi78fuuvNfMcKBG3Tw,0.00749422,642.58,0.00749422,641.71
1FedwHXhakWecFxNTr4axHxRNKgsmWKHPk,0.00737381,628.55,0.00737381,639.72
19ugKykSKkb3wYanyZBBVQKAeAEMsSb18e,0.00929851,639.5,0.00929851,634.5
168pofRAj7us1ow8e51LjVgiEVb4ZjwUY2,0.00924821,623.29,0.00924821,625.32
1JHGMPzGAWHiwf4aWXysdCDfeFonqKy7wb,0.00673254,621.99,0.00673254,619.4
14EopEj9BVHUQdsaLq369Zad1SUdeuAhbu,0.00915386,617.45,0.00915386,617.45
1MwFRhSdTuU4DsGMRQTQ9RV6hV8A2jVgGW,0.00732633,608.72,0.00732633,615.19
19hkN9WUCeevF4BHsujvyqAfYM2GNuibBS,0.009831,606.13,0.009831,614.65
1PpyY5cZXtY6eNbCHKmK9YejorC6PZ8JW2,0.00888022,595.63,0.00888022,601.56
1GNLNpgLvzxeozyu9qcRuTryHbAXdB1pzy,0.0095857,580.19,0.0095857,600.11
1EfapcKpRtg2iAuFeaic6MqHeqgitmMtPd,0.00769197,589.76,0.00769197,596.12
1JJ5ZnYPSJ5HwTMvEB9Q4U579T4SyeWE2A,0.00592465,600.63,0.00592465,593.6
19knWqEwMXuLHtoHyASqwC1TUgq8AmUqGw,0.00620501,586.39,0.00620501,589.08
1GPmAgp9SCw9fJyvNZMB31PXosiQHW1a9u,0.00760713,576.36,0.00760713,581.68
18vkkE3fBDEgFnFx7DfuF7gZ8skLkBrxtk,0.00662406,577.87,0.00662406,578.67
15JanJEuAK2KqGUCFJre6xmae7uQNbbshA,0.0080751,574.27,0.0080751,575.35
144nS7uZyCG4mnoK7BqS5A38N5jhoFQWah,0.00621162,574.49,0.00621162,573.08
1M9KsEiJpg2ZetvfpwvAZC2cxpLQGtkGjh,0.00669332,577.02,0.00669332,570.8
17cBn8Xx8b1uz5YkhwnqpmttT4EyAFFcgR,0.00576366,563.5,0.00576366,568.02
15eajLnyPCkRhyg7T2MbHDLybwkd4mNpU1,0.00547686,545.68,0.00547686,541.52
1FDyBaW3Ku7R4bEzX9GD3XsPHXwFgLzEQZ,0.00684618,538.93,0.00684618,534.15
1NCH9fKKtEohVgtoWGFNQbv5HLczXpDd9U,0.00526101,532.07,0.00526101,530.56
1FB3TnMmq1AMadPdK91JB7kt33YrYcoK1L,0.00690602,563.94,0.00690602,529.47
13nGvmQwRuC7e6s1EYqfZBD4jPyR1ag25C,0.00801265,514.95,0.00801265,522.38
1Mk24r8WKLbXmoZy9ZX5grqw7muzUtBo4F,0.00547709,523.82,0.00547709,521.51
1DbyijP6hsEEJ2f5njFhg9p7fm2qM8VASJ,0.00772583,522.34,0.00772583,521.4
1LnQwrWBAFDcb41t9JNDbgyzTRkJUd9pnr,0.00659448,505.08,0.00659448,506.45
1PyE8YLQwYXmzQ5GobtaqLknUmgcCFcTv7,0.00744187,506.47,0.00744187,505.76
1DUp7YUCPBUuGT3tv1RTAZ3ViHGQtBzqVc,0.00565,500.86,0.00565,500.86
